epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.850586,1.17004,3.32932,1.5986,0.80135,0.66667,0.9026,0.6315,1.51924,1.20364,1.32155,0,0,0
2,1.51797,1.23223,2.92213,1.5528,0.78572,0.66667,0.90327,0.61274,1.54364,1.19801,1.32988,1.17822e-06,1.17822e-06,1.17822e-06
3,2.05432,1.23948,2.59037,1.35593,0.79089,0.66667,0.90462,0.62968,1.55951,1.20124,1.33881,2.33288e-06,2.33288e-06,2.33288e-06
4,2.64028,1.49373,3.16833,1.70024,0.78517,0.66667,0.89998,0.64505,1.57227,1.20277,1.34587,3.46397e-06,3.46397e-06,3.46397e-06
5,3.3502,1.4308,2.99432,1.69324,0.78452,0.66667,0.90129,0.63684,1.58911,1.20058,1.35138,4.5715e-06,4.5715e-06,4.5715e-06
6,4.02253,0.83071,2.10753,1.18518,0.7768,0.66667,0.89954,0.64506,1.59836,1.21017,1.36057,5.65548e-06,5.65548e-06,5.65548e-06
7,4.72665,1.37072,3.39627,1.68039,0.76824,0.66667,0.90242,0.64388,1.612,1.20916,1.36505,6.71588e-06,6.71588e-06,6.71588e-06
8,5.45164,1.31903,4.02409,1.79763,0.76566,0.69886,0.93078,0.61125,1.62072,1.22179,1.37306,7.75273e-06,7.75273e-06,7.75273e-06
9,6.18047,0.88039,3.00917,1.31111,0.74847,0.71363,0.93217,0.61213,1.62931,1.23482,1.37897,8.76602e-06,8.76602e-06,8.76602e-06
10,6.91045,1.30095,2.63079,1.62671,0.7482,0.71095,0.93058,0.61439,1.63911,1.243,1.3802,9.75574e-06,9.75574e-06,9.75574e-06
11,7.62433,1.48278,2.81509,1.75629,0.65489,0.76489,0.9304,0.60345,1.66471,1.26199,1.39615,1.07219e-05,1.07219e-05,1.07219e-05
12,8.36012,1.02508,2.57935,1.43166,0.6528,0.76027,0.93076,0.6223,1.67683,1.29425,1.39935,1.16645e-05,1.16645e-05,1.16645e-05
13,9.13841,1.43935,3.09305,1.83832,0.64927,0.75144,0.93152,0.60837,1.66142,1.30466,1.39406,1.25835e-05,1.25835e-05,1.25835e-05
14,9.8755,1.08164,2.74426,1.41659,0.6415,0.75174,0.93038,0.60607,1.67651,1.32899,1.40302,1.3479e-05,1.3479e-05,1.3479e-05
15,10.5994,1.40828,3.04198,1.62759,0.64785,0.74095,0.93044,0.60614,1.69166,1.34281,1.41086,1.43509e-05,1.43509e-05,1.43509e-05
16,11.317,1.20246,2.01333,1.53428,0.63352,0.74895,0.9308,0.60534,1.69376,1.34067,1.40978,1.51993e-05,1.51993e-05,1.51993e-05
17,12.0373,1.018,1.91529,1.32984,0.63317,0.74566,0.93103,0.60281,1.7042,1.35897,1.42258,1.60241e-05,1.60241e-05,1.60241e-05
18,12.7256,0.84706,1.78021,1.18461,0.63317,0.74566,0.93103,0.60281,1.7042,1.35897,1.42258,1.68253e-05,1.68253e-05,1.68253e-05
19,13.4485,0.7837,1.78874,1.0858,0.64154,0.70016,0.93157,0.61959,1.71549,1.39016,1.43258,1.7603e-05,1.7603e-05,1.7603e-05
20,14.1377,1.26937,2.21328,1.4417,0.64154,0.70016,0.93157,0.61959,1.71549,1.39016,1.43258,1.83571e-05,1.83571e-05,1.83571e-05
21,14.8606,1.03565,2.26314,1.33353,0.70093,0.6,0.85089,0.61345,1.73508,1.41382,1.44217,1.90876e-05,1.90876e-05,1.90876e-05
22,15.5548,1.05679,1.98517,1.2715,0.70093,0.6,0.85089,0.61345,1.73508,1.41382,1.44217,1.97946e-05,1.97946e-05,1.97946e-05
23,16.2776,1.07067,1.8761,1.43862,0.67581,0.6,0.80933,0.58694,1.74324,1.44159,1.44846,2.0478e-05,2.0478e-05,2.0478e-05
24,16.9656,1.07871,1.85909,1.42111,0.67581,0.6,0.80933,0.58694,1.74324,1.44159,1.44846,2.11379e-05,2.11379e-05,2.11379e-05
25,17.6888,0.91188,2.19271,1.27114,0.72917,0.45,0.81953,0.58227,1.75222,1.47668,1.45691,2.17741e-05,2.17741e-05,2.17741e-05
26,18.3768,0.87754,1.737,1.22908,0.72917,0.45,0.81953,0.58227,1.75222,1.47668,1.45691,2.23869e-05,2.23869e-05,2.23869e-05
27,19.114,1.081,1.58816,1.4167,0.90298,0.41577,0.81031,0.58086,1.76776,1.51633,1.46862,2.2976e-05,2.2976e-05,2.2976e-05
