epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.955327,2.2683,4.7389,2.36487,0.00116,0.01667,0.00068,0.00021,3.04405,6.315,3.21872,0,0,0
2,1.85545,2.53151,4.81868,2.61312,0.00096,0.01667,0.00157,0.00086,2.86676,5.90014,2.96748,1.16644e-06,1.16644e-06,1.16644e-06
3,2.78803,2.31888,5.00889,2.29067,0.00112,0.01667,0.00123,0.00082,2.98289,5.95039,2.93707,2.28575e-06,2.28575e-06,2.28575e-06
4,3.63917,2.90017,4.94522,2.62062,0.00129,0.01667,0.00107,0.00069,2.94287,5.63839,2.82785,3.35794e-06,3.35794e-06,3.35794e-06
5,5.1086,3.08109,5.18906,2.94503,0.00129,0.01667,0.00074,0.00022,2.85462,5.57794,2.72691,4.38301e-06,4.38301e-06,4.38301e-06
6,6.48998,2.25637,4.64687,2.16436,0.00138,0.01667,0.00076,0.00038,2.66639,5.5601,2.65562,5.36095e-06,5.36095e-06,5.36095e-06
7,7.82429,2.82237,5.22881,2.69285,0.00172,0.01667,0.00095,0.00076,2.52476,5.60598,2.53071,6.29177e-06,6.29177e-06,6.29177e-06
8,9.15756,2.38606,4.79496,2.56402,0.00172,0.01667,0.00095,0.00076,2.47697,5.64442,2.5226,7.17546e-06,7.17546e-06,7.17546e-06
9,10.553,2.43981,5.03191,2.45678,0.00172,0.01667,0.00095,0.00076,2.53201,5.65881,2.55174,8.01203e-06,8.01203e-06,8.01203e-06
10,11.8872,2.52922,4.77108,2.44184,0.00235,0.01667,0.00503,0.00129,2.54053,5.64306,2.533,8.80148e-06,8.80148e-06,8.80148e-06
11,13.3138,2.45061,4.86336,2.57993,0.00225,0.01667,0.00419,0.00084,2.5291,5.55323,2.53906,9.5438e-06,9.5438e-06,9.5438e-06
12,14.6799,2.18442,4.75415,2.36112,0.00225,0.01667,0.00498,0.001,2.51275,5.55386,2.50728,1.0239e-05,1.0239e-05,1.0239e-05
13,16.0601,2.54172,4.79229,2.68884,0.00245,0.01667,0.00639,0.002,2.45745,5.50821,2.49331,1.08871e-05,1.08871e-05,1.08871e-05
14,17.5139,2.15243,4.8787,2.25076,0.00225,0.01667,0.00278,0.00198,2.4423,5.5065,2.51509,1.1488e-05,1.1488e-05,1.1488e-05
15,18.7883,2.35246,4.54091,2.48165,0.00228,0.01667,0.00236,0.00189,2.46143,5.46962,2.57392,1.20418e-05,1.20418e-05,1.20418e-05
16,20.1293,2.48997,4.65347,2.3611,0.00203,0.01667,0.00409,0.00265,2.42882,5.4571,2.57953,1.25486e-05,1.25486e-05,1.25486e-05
17,21.5775,2.04213,4.35429,2.2484,0.00206,0.01667,0.00621,0.00284,2.35501,5.40089,2.54459,1.30081e-05,1.30081e-05,1.30081e-05
18,23.0259,2.24759,4.97106,2.31167,0.00206,0.01667,0.00621,0.00284,2.35501,5.40089,2.54459,1.34206e-05,1.34206e-05,1.34206e-05
19,24.4775,2.05202,4.51112,2.25798,0.00189,0.01667,0.00878,0.00408,2.33912,5.35391,2.53802,1.37859e-05,1.37859e-05,1.37859e-05
20,25.8187,2.42668,4.93189,2.38501,0.00189,0.01667,0.00878,0.00408,2.33912,5.35391,2.53802,1.41041e-05,1.41041e-05,1.41041e-05
21,27.1622,2.31314,4.66124,2.29916,0.00183,0.01667,0.01667,0.00693,2.41691,5.38993,2.59067,1.43752e-05,1.43752e-05,1.43752e-05
22,28.5012,2.38779,4.56893,2.21154,0.00183,0.01667,0.01667,0.00693,2.41691,5.38993,2.59067,1.45992e-05,1.45992e-05,1.45992e-05
23,29.9371,2.12996,4.49577,2.24054,0.00153,0.01667,0.01653,0.00698,2.50344,5.2963,2.65084,1.4776e-05,1.4776e-05,1.4776e-05
24,31.3061,2.06002,4.31757,2.19087,0.00153,0.01667,0.01653,0.00698,2.50344,5.2963,2.65084,1.49057e-05,1.49057e-05,1.49057e-05
25,32.7427,2.03944,4.90676,2.34289,0.00133,0.01667,0.01644,0.00835,2.50698,5.1878,2.6629,1.49883e-05,1.49883e-05,1.49883e-05
26,34.0713,2.11323,4.12262,2.12779,0.00133,0.01667,0.01644,0.00835,2.50698,5.1878,2.6629,1.50238e-05,1.50238e-05,1.50238e-05
27,35.7054,2.01893,4.13942,2.15405,0.00107,0.01667,0.0084,0.00504,2.48109,5.06244,2.66913,1.50121e-05,1.50121e-05,1.50121e-05
28,36.9823,2.13818,4.29352,2.19966,0.00107,0.01667,0.0084,0.00504,2.48109,5.06244,2.66913,1.49533e-05,1.49533e-05,1.49533e-05
29,38.2541,2.43785,4.68691,2.38918,0.00092,0.01667,0.00569,0.00399,2.50452,4.96992,2.66483,1.48474e-05,1.48474e-05,1.48474e-05
30,39.5864,2.14363,4.06445,2.18763,0.00092,0.01667,0.00569,0.00399,2.50452,4.96992,2.66483,1.46944e-05,1.46944e-05,1.46944e-05
31,40.9608,2.22885,4.53005,2.45537,0.00068,0.01667,0.00559,0.00335,2.56418,4.8439,2.67702,1.44942e-05,1.44942e-05,1.44942e-05
32,42.2448,1.83271,4.08696,2.19427,0.00068,0.01667,0.00559,0.00335,2.56418,4.8439,2.67702,1.42469e-05,1.42469e-05,1.42469e-05
33,43.628,2.34006,4.35286,2.41315,0.00056,0.01667,0.00553,0.00332,2.63889,4.70635,2.68059,1.39525e-05,1.39525e-05,1.39525e-05
34,44.8951,2.20728,4.31795,2.38289,0.00056,0.01667,0.00553,0.00332,2.63889,4.70635,2.68059,1.3611e-05,1.3611e-05,1.3611e-05
35,46.3304,2.04013,4.29894,2.18091,0.0005,0.01667,0.00419,0.00251,2.64848,4.62449,2.66558,1.32223e-05,1.32223e-05,1.32223e-05
36,47.6124,2.14729,4.19874,2.3054,0.0005,0.01667,0.00419,0.00251,2.64848,4.62449,2.66558,1.27866e-05,1.27866e-05,1.27866e-05
37,48.8901,2.33014,4.09564,2.1856,0.00044,0.01667,0.00416,0.0025,2.63754,4.5679,2.64029,1.23036e-05,1.23036e-05,1.23036e-05
38,50.1535,1.85351,3.90535,1.86066,0.00044,0.01667,0.00416,0.0025,2.63754,4.5679,2.64029,1.17736e-05,1.17736e-05,1.17736e-05
39,51.4841,1.79805,4.08296,2.12978,0.00086,0.03333,0.00441,0.00252,2.68663,4.54928,2.65677,1.11965e-05,1.11965e-05,1.11965e-05
40,52.7001,1.73573,3.94738,1.95923,0.00086,0.03333,0.00441,0.00252,2.68663,4.54928,2.65677,1.05722e-05,1.05722e-05,1.05722e-05
41,57.46,1.35362,3.92288,2.01942,0.00078,0.03333,0.00439,0.00253,2.69305,4.51043,2.64874,9.9008e-06,9.9008e-06,9.9008e-06
42,58.7844,1.53601,3.78836,2.03894,0.00078,0.03333,0.00439,0.00253,2.69305,4.51043,2.64874,9.18228e-06,9.18228e-06,9.18228e-06
43,60.0961,1.66546,4.34095,2.14193,0.16745,0.2,0.17024,0.06969,2.69959,4.47582,2.63285,8.41663e-06,8.41663e-06,8.41663e-06
44,61.5019,1.84199,4.29569,1.90406,0.16745,0.2,0.17024,0.06969,2.69959,4.47582,2.63285,7.60386e-06,7.60386e-06,7.60386e-06
45,62.9194,1.82988,4.29653,2.27857,0.16745,0.2,0.17157,0.07075,2.71052,4.45208,2.60498,6.74397e-06,6.74397e-06,6.74397e-06
46,64.3485,1.61719,3.95774,2.16644,0.16745,0.2,0.17157,0.07075,2.71052,4.45208,2.60498,5.83695e-06,5.83695e-06,5.83695e-06
47,65.9272,1.51595,3.85517,2.03191,0.16745,0.2,0.18214,0.0792,2.7186,4.4039,2.56728,4.88281e-06,4.88281e-06,4.88281e-06
